Latitude	Longitude	Collisions	Street 1	Street 2
34.2006	-118.3965	108	SHERMAN WY	LAUREL CANYON BL
33.9892	-118.2915	54	VERMONT AV	SLAUSON AV
34.2012	-118.571	60	SHERMAN WY	WINNETKA AV
34.2212	-118.5055	121	ROSCOE BL	BALBOA BL
33.9445	-118.3961	103	SEPULVEDA BL	CENTURY BL
34.2282	-118.5623	59	PARTHENIA ST	CORBIN AV
34.1524	-118.3703	64	RIVERSIDE DR	VINELAND AV
34.098	-118.3441	89	SUNSET BL	LA BREA AV
34.2012	-118.44	95	SHERMAN WY	HAZELTINE AV
34.0981	-118.3136	57	SUNSET BL	WILTON PL
34.2011	-118.5885	95	DE SOTO AV	SHERMAN WY
34.0551	-118.2545	55	FIGUEROA ST	3RD ST
34.0327	-118.309	71	WESTERN AV	ADAMS BL
34.2012	-118.4487	140	VAN NUYS BL	SHERMAN WY
34.0468	-118.4473	57	SANTA MONICA BL	BELOIT AV
34.0385	-118.5556	128	PACIFIC COAST HY	SUNSET BL
34.0255	-118.3548	86	LA BREA AV	JEFFERSON BL
34.2356	-118.472	62	NORDHOFF ST	ORION AV
34.2646	-118.4673	71	SEPULVEDA BL	CHATSWORTH ST
34.0836	-118.2917	66	VERMONT AV	MELROSE AV
34.0183	-118.3556	135	LA BREA AV	RODEO RD
33.9616	-118.4208	55	LINCOLN BL	83RD ST
34.063	-118.2727	52	ALVARADO ST	3RD ST
34.0399	-118.3311	55	WASHINGTON BL	CRENSHAW BL
34.1649	-118.3965	61	LAUREL CANYON BL	MAGNOLIA BL
34.0216	-118.3556	82	RODEO RD	LA BREA AV
33.9892	-118.2871	61	SLAUSON AV	HOOVER ST
34.2355	-118.5274	72	NORDHOFF ST	LINDLEY AV
33.7899	-118.2975	63	PACIFIC COAST HY	NORMANDIE AV
34.0763	-118.2917	54	BEVERLY BL	VERMONT AV
34.2504	-118.5233	55	LASSEN ST	ZELZAH AV
34.0215	-118.3351	61	CRENSHAW BL	RODEO RD
34.1912	-118.6059	130	TOPANGA CANYON BL	VICTORY BL
34.2012	-118.4225	67	SHERMAN WY	FULTON AV
34.0693	-118.2687	62	ALVARADO ST	BEVERLY BL
33.9746	-118.3003	104	FLORENCE AV	NORMANDIE AV
34.2216	-118.446	80	ROSCOE BL	LENNOX AV
34.2574	-118.4849	64	DEVONSHIRE ST	WOODLEY AV
34.1717	-118.4757	52	BURBANK BL	WOODLEY AV
33.9601	-118.2827	156	MANCHESTER AV	FIGUEROA ST
34.0621	-118.3383	56	HIGHLAND AV	WILSHIRE BL
34.2084	-118.5535	76	TAMPA AV	SATICOY ST
34.2206	-118.5448	52	ROSCOE BL	WILBUR AV
34.0909	-118.2917	57	SANTA MONICA BL	VERMONT AV
33.9745	-118.3309	60	CRENSHAW BL	FLORENCE AV
34.2248	-118.4499	90	VAN NUYS BL	CHASE ST
34.1111	-118.2918	54	LOS FELIZ BL	VERMONT AV
34.1649	-118.3704	66	VINELAND AV	MAGNOLIA BL
34.2197	-118.606	87	TOPANGA CANYON BL	ROSCOE BL
34.0399	-118.3328	95	CRENSHAW BL	WASHINGTON BL
34.237	-118.5025	104	BALBOA BL	NORDHOFF ST
34.1867	-118.4662	96	VICTORY BL	SEPULVEDA BL
34.2012	-118.5011	114	SHERMAN WY	BALBOA BL
34.1721	-118.4662	116	SEPULVEDA BL	BURBANK BL
34.0652	-118.2492	58	SUNSET BL	BEAUDRY AV
34.1722	-118.5011	95	BURBANK BL	BALBOA BL
33.9822	-118.2915	60	GAGE AV	VERMONT AV
34.0618	-118.2916	102	VERMONT AV	WILSHIRE BL
34.1688	-118.6145	70	VENTURA BL	SHOUP AV
34.2214	-118.4721	95	ROSCOE BL	ORION AV
34.046	-118.3453	123	LA BREA AV	VENICE BL
34.0689	-118.344	101	LA BREA AV	3RD ST
34.2421	-118.4261	58	OSBORNE ST	ARLETA AV
34.0038	-118.2783	61	VERNON AV	BROADWAY
34.0509	-118.2585	53	6TH ST	FIGUEROA ST
34.1688	-118.5361	70	VENTURA BL	RESEDA BL
34.0383	-118.3772	90	LA CIENEGA BL	CADILLAC AV
33.9747	-118.2739	88	FLORENCE AV	MAIN ST
33.96	-118.309	116	MANCHESTER AV	WESTERN AV
34.2649	-118.5234	68	CHATSWORTH ST	ZELZAH AV
34.2428	-118.5536	119	TAMPA AV	PLUMMER ST
34.04	-118.309	63	WASHINGTON BL	WESTERN AV
34.0385	-118.3484	69	LA BREA AV	21ST ST
34.0085	-118.3351	62	CRENSHAW	STOCKER
34.0037	-118.2827	73	VERNON AV	FIGUEROA ST
34.3075	-118.4303	55	HUBBARD ST	FOOTHILL BL
34.1504	-118.3965	61	LAUREL CANYON BL	MOORPARK ST
34.0536	-118.3762	51	PICO BL	LA CIENEGA BL
34.1938	-118.5884	96	VANOWEN ST	DE SOTO AV
34.2012	-118.4313	123	WOODMAN AV	SHERMAN WY
34.1939	-118.4618	65	VANOWEN ST	NOBLE AV
33.931	-118.2826	55	FIGUEROA ST	IMPERIAL HY
34.0436	-118.309	53	VENICE BL	WESTERN AV
34.2289	-118.4503	79	VAN NUYS BL	PARTHENIA ST
34.0039	-118.2565	72	CENTRAL AV	VERNON AV
34.2731	-118.4125	81	VAN NUYS BL	GLENOAKS BL
34.1531	-118.4618	57	VENTURA BL	NOBLE AV
34.1721	-118.4509	65	BURBANK BL	VAN NUYS BL
34.2282	-118.5536	54	PARTHENIA ST	TAMPA AV
34.0473	-118.2916	116	VERMONT AV	PICO BL
34.0761	-118.3765	88	LA CIENEGA BL	BEVERLY BL
34.1939	-118.5317	58	VANOWEN ST	ETIWANDA AV
34.1884	-118.5797	56	VICTORY BL	MASON AV
34.2355	-118.5536	189	TAMPA AV	NORDHOFF ST
34.0183	-118.3556	51	LA BREA	COLISEUM
34.2282	-118.5623	65	CORBIN AV	PARTHENIA ST
34.2428	-118.5536	52	PLUMMER ST	TAMPA AV
33.9893	-118.2564	72	SLAUSON AV	CENTRAL AV
34.0654	-118.2916	65	VERMONT AV	4TH ST
34.1576	-118.44	83	RIVERSIDE DR	HAZELTINE AV
34.2157	-118.3878	52	LANKERSHIM BL	STRATHERN ST
34.0324	-118.4537	62	OLYMPIC BL	BUNDY DR
34.04	-118.3003	55	NORMANDIE AV	WASHINGTON BL
34.1514	-118.4515	69	VENTURA BL	CEDROS AV
34.3075	-118.4303	80	FOOTHILL BL	HUBBARD ST
34.0835	-118.3091	65	WESTERN AV	MELROSE AV
34.1878	-118.6015	78	VICTORY BL	OWENSMOUTH AV
33.9601	-118.2782	89	MANCHESTER AV	BROADWAY
34.232	-118.5623	60	NORDHOFF ST	CORBIN AV
34.2012	-118.5623	51	SHERMAN WY	CORBIN AV
34.194	-118.4052	56	VANOWEN ST	WHITSETT AV
34.1576	-118.44	52	HAZELTINE AV	RIVERSIDE DR
34.2243	-118.6042	58	TOPANGA CANYON BL	CHASE ST
34.2084	-118.5011	68	BALBOA BL	SATICOY ST
34.0981	-118.3615	53	SUNSET BL	FAIRFAX AV
34.098	-118.3267	65	SUNSET BL	VINE ST
33.9601	-118.2827	65	FIGUEROA ST	MANCHESTER AV
34.2215	-118.4612	67	ROSCOE BL	NOBLE AV
33.9892	-118.3089	161	SLAUSON AV	WESTERN AV
